id,word,mean
1,addition,足し算
2,technical,技術
3,male,男性
4,female,女性
5,total,合計
6,sum,和(足し算の合計)
7,add,足す
8,therefore,それゆえ
9,plus,+
10,equal,イコール　等しい
11,in total,合計で
12,subtraction,引き算
13,population,人口
14,approximately,約、およそ
15,million,百万
16,increase,増える
17,difference,差、違い
18,subtract,引く
19,multiplication,掛け算
20,cardboard,段ボール
21,contain,含む、入る
22,dozen,ダース(1ダース:12)
23,multiply,かける(かけ算)
24,expression,式
25,factor,因数
26,result,結果
27,product,積、製品、産物
28,Here is/are,ここに、ある/いる
29,division,割り算
30,average,平均
31,object,物体
32,distance,距離
33,divide,わる(割り算の)
34,per,2km/1分の「/」
35,fraction,分数
36,above,その上で
37,bar,5/3の「/」
38,numerator,分子
39,below,その下
40,denominator,分母
41,unit of time,単位時間
42,How many~?,数を尋ねる疑問文
43,How much~?,程度や量を尋ねる疑問文
44,to不定詞の名詞的用法,～すること
45,to不定詞の形容詞的用法,~するための/～するべき
46,to不定詞の副詞的用法,~するために
47,The number written above the bar,バーの上に書かれた数字
48,the distance it travels in a unit of time,単位時間に移動する距離
