id,word,mean
1,decoration,装飾
2,wonder,不思議に思う
3,celebrate,祝う
4,original,独自
5,lunisolar,月と太陽的
6,calender,暦、カレンダー
7,lover,恋人、愛人
8,starry,星空
9,moonless,月のない
10,the lunisolar calender,太陰太陽暦(旧暦)
11,the Gregorian calender,グレゴリオ暦(新暦)
12,(be) based on~,～に基づいて
13,galaxy,銀河
14,Vega,ベガ
15,Altair,アルタイル
16,urban,(大)都市
17,exactly,まさに、ぴったり
18,band,帯、集まり
19,belong,属する
20,astronomer,天文学者
21,least,少しでも
22,billion,十億
23,brightness,輝度
24,solar,太陽の、太陽による
25,scientific name,学名
26,Milky Way Galaxy,銀河系
27,disk-shaped,円盤状の
28,at least,少なくとも
29,central,中央
30,celestial,天体の
31,include,含む
32,Mercury,水星
33,Venus,金星
34,Mars,火星
35,Jupiter,木星
36,Saturn,土星
37,Uranus,天王星
38,Neptune,海王星
39,naked,裸
40,ancient,古代の
41,discover,発見
42,satellite,衛星
43,except,を除外する
44,asteroid,小惑星
45,gravity,重力
46,celestial body,天体
47,naked eye,裸眼
48,millions of～,数百万もの～(無数の)
49,sunrise,日の出
50,sunset,日没
51,prehistoric,有史以前の
52,magnitude,「一等星」の「等」
53,imagine,想像する
54,goddess,女神
55,evening star,宵の明星
56,morning star,明けの明星
57,except for~,~を除いて
58,What a beautiful!,なんて美しい！
59,How interesting it is,なんて面白いんだ
60,The sky seen from here is so bright that we can hardlly see them,ここから見える空は明るくてほとんど見えない
61,It's easy to find Orihime,織姫を見つけることは簡単だ
62,What you see as the Milky way,天の川として見えるもの
63,Not only the earth but also other planets have satellites,地球だけでなく他の惑星にも衛星がある
64,If you know when and where to look,いつ、どこを見るべきか知っていれば
65,Venus has been known since prehistoric times,金星は有史以前から知られていた
