id,word,mean
1,technology,科学技術
2,term,用語
3,appliance,製品
4,energy source,エネルギー源
5,obviously,明らかに
6,indirectly,間接的に
7,meat,お肉
8,after all,結局
9,conservation,保全
10,consume,消費
11,disappear,見えなくなる、姿を消す
12,motor,モーター
13,generator,発電機、(ガス・蒸気の)発生機
14,coil,コイル
15,magnet,磁石
16,spin,広がる
17,kinetic,動力学
18,generate,生む
19,in other words,言い換えれば
20,kinetic energy,運動エネルギー
21,take~ for example,～を例にとる
22,hammer,ハンマー
23,lift,持ち上げる
24,fall,落下する
25,gravitational,引力(作用)の、重力の
26,potential energy,位置エネルギー
27,as long as~,~である限り
28,gravitational pull,引力
29,transformation,変換
30,hydraulic,水力の
31,power,力
32,store,貯める
33,dam,ダム
34,originally,もともと
35,eventually,最終的に、やがて
36,consequently,その結果、したがって
37,transform,変換する
38,hydraulic power plant,水力発電所
