id,word,mean
1,atom,原子
2,molecule,分子
3,substance,物質
4,tiny,小さな
5,particle,粒子
6,oxgen,酸素
7,hydrogen,水素
8,bond,結合する
9,heat,熱する
10,boil,沸騰する
11,separate,分離する
12,gas,気体
13,vapor,蒸気
14,Celsius,摂氏
15,hardly,ほとんどない
16,freeze,凍る
17,floze,凍った
18,(be) made up of～,～からできている
19,on the other hand,一方で
20,melt,溶ける
21,liquid,液体
22,certain,一定の
23,temperature,温度
24,daily,日常
25,compare,比較する
26,exist,存在する
27,in the same way,同様に
28,room temperature,室温
29,melting point,融点
30,boiling point,沸点
31,mass,質量
32,dry,乾燥する
33,carbon,炭素
34,dioxide,二酸化物
35,carbon dioxide,二酸化炭素(CO2)
36,liter,リットル
37,gaseous,気体の
38,whole,全体の
39,still,やはり
40,regardless,関係なく
41,depend,それによって
42,regardless of~,～にもかかわらず
43,according to~,～にしたがって、～によって
44,depend on,～によって決まる、～次第である
45,the air to become a gas called water vapor,空気が水蒸気という気体になる
46,is hot enough to boil,沸騰するのに十分なほど、熱い
47,the temperature at which a liquid substance,液体物質の温度
48,The temperature is lower than room temperature,温度が室温より低い
49,The volume depends on how fast the particles move,体積は粒子がどのくらい早いかで決まる。
50,The faseter~the larger~,速く~すればするほど～が大きくなる
