id,word,mean
1,iron,鉄
2,rod,棒
3,movement,動くこと、動き
4,conduction,伝導
5,cookware,調理器具
6,probably,おそらく
7,wooden,木製の
8,handle,取っ手
9,wool,羊毛
10,fur,毛皮
11,feather,羽毛
12,trap,閉じ込める
13,prevent,妨げる
14,escape,逃げる
15,stainless steel,ステンレス鋼
16,non-metal,非金属
17,That's why~,そういうわけで～
18,convection,対流(対流現象そのもの)
19,rise,上がる
20,sink,沈む
21,thermal,熱の
22,transfer,移る
23,kettle,やかん
24,fact,事実
25,turn on,スイッチを入れる
26,convection current,対流(対流現象による空気の流れ)
27,in fact,実際に
28,radiation,放射
29,grill,グリル
30,infrared,赤外線
31,ray,光線
32,though,～だが
33,conduct,伝導する
34,radiate,放射する
35,visible,可視の
36,industry,産業
37,scientific,科学の
38,research,研究
39,thermometer,温度計
40,determine,測定する
41,extremely,極めて
42,universe,宇宙
43,in the case,この場合は
44,visible light ray,可視光線
45,This is because~,これは～が理由だ
46,Prevent your body heat from escaping,あなたの体の熱が逃げるのを妨げる/逃げないようにする
47,Make the colder air sink,冷たい空気を沈めさせる
48,without touching the object,物体を触ることなく
