id,word,mean
1,ion,イオン
2,basic,基本的
3,matter,物質
4,proton,陽子
5,neutron,中性子
6,electron,電子
7,cation,陽イオン
8,gain,得る
9,anion,陰イオン
10,sodium,ナトリウム
11,chloride,塩化物
12,salt,塩
13,compose,構成する
14,commonly,普通に
15,resolve,分解する
16,ionization,イオン化
17,positive(negative) charge,正（負）電荷
18,sodium chloride,塩化ナトリウム
19,table salt,食卓塩
20,electrolysis,電気分解
21,electrode,電極
22,electrolyte,電解液
23,apply a volume,電圧をかける
24,occur,起こる
25,surface,表面
26,cathode,陰極
27,anode,陽極
28,ionic,イオンの
29,element,元素
30,compound,化合物
31,experiment,実験
32,hydroxide,水酸化物
33,ionic solution,イオン溶液
34,hydroxide ion,水酸化物イオン
35,acid,酸
36,alkali,アルカリ
37,dissolve,溶解する
38,unique,個性的
39,characteristic(s),特徴
40,aqueous,水性
41,litmus,リトマス
42,react,反応する
43,progress,進歩、進捗
44,concentration,集中
45,mixture,混合物
46,neither,ない
47,nor,または
48,neutralization,中和
49,BTB,bromothymol blueの総称
50,neither A nor B,AでもBでもない
