id,word,mean
1,electric,電気の
2,charge,充電、帯電する
3,rub,こする
4,ruler,定規
5,stick,くっつく
6,static,静電気の
7,electricity,電気
8,balance,均衡である
9,electrically,電気によって
10,neutral,電気(作用)で、電気によって
11,upset,ひっくり返る
12,negatively,負に(陰電気を帯びている)
13,positively,正に(陽電気を帯びている)
14,imbalance,不均衡
15,positively charged,正に帯電する
16,negatively charged,負に帯電する
17,because of～,～のために、～が原因で
18,be said to～,～する、～であると言われている
19,electrical,電気的な
20,circuit,回路
21,battery,電池
22,bulb,電球
23,wire,電線
24,provide,(前もって)供給する
25,current,電流
26,flow,流れる
27,ammeter,電流計
28,ampere,電流の単位(アンペア)
29,chemical,化学
30,voltage,電圧の単位(ボルト)
31,voltmeter,電圧計
32,supply,(不足したから)供給する
33,bright,明るい
34,series,直列
35,light up,点灯する
36,for short,略して
37,in series,直列に
38,conductor,導体
39,insulator,不導体
40,copper,銅
41,allow,可能にする、許す
42,plug,プラグ(コンセントに差し込むもの)
43,rubber,ゴム
44,safety,安全
45,metal,金属
46,amount,量
47,material,材料
48,resistance,抵抗
49,aluminum,アルミニウム
50,contrary,逆に
51,(be) covered with~,おおわれている
52,on the contrary,反対に
53,ohm,Ω(オーム)
54,law,法則
55,observe,観察する
56,major,主要な
57,resistor,抵抗器
58,potential,電位
59,inversely,逆に
60,relation,関係
61,Ohm's law,オームの法則
62,"one~,another…",一つは、もうひとつは
63,potential difference,電位差
65,The ruler has become negatively charged,定規がマイナスに帯電した
66,Connecting more batteries makes the light bulb brighter,より多くの電池を接続すると、電球が明るくなります
67,A substance allows electricity to flow through it,物質は電気を流すことができます
68,inversely proportional to,反比例して
